Dia	Concepto / Referencia	cargo	Abono	Saldo
30/05/2017	PAGO CUENTA DE TERCERO/ 0063673014 BNET    0195093422		"36,920.00"	"1,625,441.16"
30/05/2017	PAGO CUENTA DE TERCERO/ 0025443009 BNET    0195092590		"26,000.00"	"1,588,521.16"
30/05/2017	SPEI RECIBIDOBANAMEX/0005452149  002 0004567GAS M FF 3E7A F 971258 BASILEA		"1,050.70"	"1,562,521.16"
30/05/2017	PAGO CUENTA DE TERCERO/ 0079744011 BNET    0193726312		"21,489.57"	"1,561,470.46"
30/05/2017	PAGO CUENTA DE TERCERO/ 0059386029 BNET    0449393366		"8,058.00"	"1,539,980.89"
30/05/2017	PAGO CUENTA DE TERCERO/ 0052983023 BNET    0102021234		"5,216.40"	"1,531,922.89"
30/05/2017	PAGO CUENTA DE TERCERO/ 0053307045 BNET    0153104710		"1,722.98"	"1,526,706.49"
30/05/2017	DEPOSITO DE TERCERO/REFBNTC00312487 XLGE165458 XLGE165459         BMRCASH		"5,000.70"	"1,524,983.51"
30/05/2017	PAGO CUENTA DE TERCERO/ 0081970132 BNET    0447506651		"2,632.50"	"1,519,982.81"
30/05/2017	SPEI RECIBIDOSCOTIABANK/0005369402  044 0000368fact 965288 959537		"2,585.40"	"1,517,350.31"
30/05/2017	SPEI RECIBIDOBANAMEX/0005354871  002 0972086502671904 GAS METRO ZENSHO		"2,133.00"	"1,514,764.91"
30/05/2017	DISPERSION/DISPERSION 107838020170530112536      0998		"125,340.00"	"1,512,631.91"
30/05/2017	DEPOSITO CHEQUE BANCOMER/0000502708724-5  		"6,335.80"	"1,387,291.91"
30/05/2017	DEP.CHEQUES DE OTRO BANCO/0120458 MAY30 14:56 MEXICO		"33,933.50"	"1,380,956.11"
30/05/2017	DEPOSITO CHEQUE BANCOMER/0120457  		"82,008.87"	"1,347,022.61"
30/05/2017	PAGO CUENTA DE TERCERO/ 0000969091 BNET    0174135407		"10,215.94"	"1,265,013.74"
30/05/2017	SPEI RECIBIDOBANAMEX/0005319041  002 0404353CRYOINFRA S A DE C V		"4,819.50"	"1,254,797.80"
30/05/2017	PAGO CUENTA DE TERCERO/ 0021449049 BNET    0447268254		"8,653.28"	"1,249,978.30"
30/05/2017	PAGO CUENTA DE TERCERO/ 0021449042 BNET    0447268254		"32,337.46"	"1,241,325.02"
30/05/2017	DEPOSITO DE TERCERO/REFBNTC00183709 PAGO FACT GAS METROPOLITANO   BMRCASH		"1,522.80"	"1,208,987.56"
30/05/2017	PAGO CUENTA DE TERCERO/ 0022813011 BNET    0445059372		"4,414.51"	"1,207,464.76"
30/05/2017	TRASPASO ENTRE CUENTAS/DE LA CUENTA 1117316623		"8,855.90"	"1,203,050.25"
30/05/2017	PAGO CUENTA DE TERCERO/ 0085040058 BNET    0157446497 HIDROGAS		"1,896.00"	"1,194,194.35"
30/05/2017	PAGO CUENTA DE TERCERO/ 0085040040 BNET    0157446497 HIDROGAS		"1,782.00"	"1,192,298.35"
30/05/2017	PAGO CUENTA DE TERCERO/ 0034822026 BNET    0141060341		"5,293.00"	"1,190,516.35"
30/05/2017	PAGO CUENTA DE TERCERO/ 0073428036 BNET    0137143540		"3,476.00"	"1,185,223.35"
30/05/2017	PAGO CUENTA DE TERCERO/ 0073428027 BNET    0137143540		"3,365.40"	"1,181,747.35"
30/05/2017	PAGO CUENTA DE TERCERO/ 0031391046 BNET    0145519063		"1,224.07"	"1,178,381.95"
30/05/2017	DEPOSITO DE TERCERO/REFBNTC00332313 MATESA                        BMRCASH		"9,961.91"	"1,177,157.88"
30/05/2017	DEPOSITO DE TERCERO/REFBNTC00257273    ACEROSCORSASADECV2000119397BMRCASH		"1,773.90"	"1,167,195.97"
30/05/2017	PAGO CUENTA DE TERCERO/ 0001754012 BNET    0444570448		418.7	"1,165,422.07"
30/05/2017	PAGO CUENTA DE TERCERO/ 0082775071 BNET    0443450937		"2,988.90"	"1,165,003.37"
30/05/2017	PAGO CUENTA DE TERCERO/ 0084880015 BNET    0192739631		"1,786.50"	"1,162,014.47"
30/05/2017	PAGO CUENTA DE TERCERO/ 0057771010 BNET    0156258018		"1,216.50"	"1,160,227.97"
30/05/2017	PAGO CUENTA DE TERCERO/ 0093842056 BNET    0163275353		"15,916.80"	"1,159,011.47"
30/05/2017	PAGO CUENTA DE TERCERO/ 0010401026 BNET    0447869436		"10,004.40"	"1,143,094.67"
30/05/2017	PAGO CUENTA DE TERCERO/ 0010401018 BNET    0447869606		"5,005.80"	"1,133,090.27"
30/05/2017	PAGO CUENTA DE TERCERO/ 0040852042 BNET    0447869436		"10,001.40"	"1,128,084.47"
30/05/2017	SPEI RECIBIDOBAJIO/0005164908  030 1222201SUMINISTRO DE GAS		"1,975.00"	"1,118,083.07"
30/05/2017	PAGO CUENTA DE TERCERO/ 0040852010 BNET    0447744218		"5,032.30"	"1,116,108.07"
30/05/2017	DISPERSION/DISPERSION 1225308GASMETROPOLITANOSADE0998		"49,924.60"	"1,111,075.77"
30/05/2017	PAGO CUENTA DE TERCERO/ 0039008026 BNET    0170838853		"25,874.50"	"1,061,151.17"
30/05/2017	"SPEI RECIBIDOMIFEL/0005096402  042 0000001GAS METROPOLITANO, FACT. SJGE-"		"4,582.00"	"1,035,276.67"
30/05/2017	DISPERSION/DISPERSION Concepto CIE		"2,146.50"	"1,030,694.67"
